amplitude	width	endPos	time
100	20	351	759
100	20	258	607
100	20	346	1087
100	20	254	480
100	20	351	655
100	20	256	623
100	20	348	639
100	20	258	655
100	20	349	655
100	20	252	919
100	60	276	368
100	60	331	344
100	60	261	295
100	60	327	327
100	60	267	287
100	60	330	311
100	60	271	264
100	60	337	312
100	60	271	312
100	60	338	295
200	20	397	1096
200	20	206	1216
200	20	399	816
200	20	199	952
200	20	393	1384
200	20	208	856
200	20	390	744
200	20	210	792
200	20	392	1631
200	20	208	1000
200	60	215	744
200	60	395	656
200	60	210	656
200	60	399	632
200	60	211	696
200	60	392	648
200	60	200	608
200	60	389	648
200	60	208	664
200	60	400	496
300	20	444	896
300	20	156	1136
300	20	456	920
300	20	152	928
300	20	449	864
300	20	155	1032
300	20	448	1056
300	20	147	880
300	20	448	968
300	20	151	776
300	60	174	584
300	60	440	624
300	60	163	704
300	60	431	696
300	60	174	655
300	60	426	487
300	60	149	599
300	60	457	680
300	60	174	679
300	60	442	695
400	20	496	696
400	20	108	1159
400	20	498	815
400	20	102	839
400	20	505	823
400	20	96	1791
400	20	495	983
400	20	106	799
400	20	495	839
400	20	92	823
400	60	111	679
400	60	492	687
400	60	115	727
400	60	499	703
400	60	101	639
400	60	484	663
400	60	113	695
400	60	488	751
400	60	109	903
400	60	470	631
100	40	367	400
100	40	249	567
100	40	362	383
100	40	265	424
100	40	370	392
100	40	270	432
100	40	347	504
100	40	254	472
100	40	333	400
100	40	243	520
100	80	281	280
100	80	352	272
100	80	287	232
100	80	352	344
100	80	290	264
100	80	366	248
100	80	272	224
100	80	331	336
100	80	268	280
100	80	356	280
200	40	401	488
200	40	200	712
200	40	388	496
200	40	207	640
200	40	406	544
200	40	219	456
200	40	383	624
200	40	210	664
200	40	390	552
200	40	213	472
200	80	217	1232
200	80	381	640
200	80	217	576
200	80	404	448
200	80	231	592
200	80	381	416
200	80	199	440
200	80	400	392
200	80	222	416
200	80	390	344
300	40	453	688
300	40	159	704
300	40	448	608
300	40	169	632
300	40	444	776
300	40	152	688
300	40	447	704
300	40	164	760
300	40	433	992
300	40	167	600
300	80	162	480
300	80	443	656
300	80	174	536
300	80	440	520
300	80	160	632
300	80	435	472
300	80	174	520
300	80	442	848
300	80	147	640
300	80	436	584
400	40	504	872
400	40	84	736
400	40	485	816
400	40	107	896
400	40	495	1656
400	40	103	864
400	40	499	552
400	40	90	744
400	40	485	624
400	40	104	600
400	80	112	584
400	80	510	496
400	80	126	528
400	80	474	607
400	80	120	487
400	80	492	487
400	80	120	583
400	80	474	607
400	80	108	695
100	20	243	455
100	20	342	559
100	20	246	535
100	20	349	455
100	20	251	447
100	20	358	703
100	20	249	647
100	20	352	615
100	20	256	967
100	20	349	775
100	60	331	359
100	60	251	271
100	60	340	263
100	60	251	279
100	60	340	311
100	60	263	207
100	60	341	279
100	60	255	255
100	60	335	255
100	60	245	231
200	20	206	576
200	20	404	575
200	20	205	687
200	20	397	831
200	20	199	679
200	20	394	575
200	20	195	735
200	20	398	647
200	20	206	935
200	20	397	711
200	60	387	880
200	60	209	535
200	60	382	695
200	60	221	560
200	60	392	424
200	60	222	607
200	60	402	440
200	60	210	472
200	60	397	768
200	60	199	1263
300	20	154	816
300	20	451	816
300	20	143	751
300	20	451	1176
300	20	154	760
300	20	444	976
300	20	151	832
300	20	445	776
300	20	155	1000
300	20	455	768
300	60	433	632
300	60	174	896
300	60	441	584
300	60	167	744
300	60	447	528
300	60	154	496
300	60	420	480
300	60	164	784
300	60	449	456
300	60	157	1976
400	20	110	1136
400	20	502	1024
400	20	106	904
400	20	500	832
400	20	99	976
400	20	500	864
400	20	104	760
400	20	501	920
400	20	106	728
400	20	500	920
400	60	492	536
400	60	113	584
400	60	499	703
400	60	108	512
400	60	477	688
400	60	120	672
400	60	495	664
400	60	126	728
400	60	479	696
400	60	120	784
100	40	263	472
100	40	335	423
100	40	262	431
100	40	338	392
100	40	259	416
100	40	345	375
100	40	252	399
100	40	335	392
100	40	256	384
100	40	359	344
100	80	340	311
100	80	288	295
100	80	345	416
100	80	265	319
100	80	331	255
100	80	286	271
100	80	347	248
100	80	272	279
100	80	334	223
100	80	267	303
200	40	210	728
200	40	390	607
200	40	207	783
200	40	404	519
200	40	202	631
200	40	395	479
200	40	199	487
200	40	405	663
200	40	206	759
200	40	389	695
200	80	367	368
200	80	216	391
200	80	361	367
200	80	232	439
200	80	389	335
200	80	196	359
200	80	374	383
200	80	199	319
200	80	375	416
200	80	206	463
300	40	155	600
300	40	442	687
300	40	163	687
300	40	437	631
300	40	145	600
300	40	438	647
300	40	157	519
300	40	435	679
300	40	150	584
300	40	438	695
300	80	420	512
300	80	189	479
300	80	426	759
300	80	160	463
300	80	438	663
300	80	174	456
300	80	425	607
300	80	181	527
300	80	421	719
300	80	161	527
400	40	113	680
400	40	488	607
400	40	110	584
400	40	488	632
400	40	115	624
400	40	502	560
400	40	114	680
400	40	498	928
400	40	99	656
400	40	498	568
400	80	464	480
400	80	119	592
400	80	479	632
400	80	113	528
400	80	464	536
400	80	113	584
400	80	488	664
400	80	118	568
400	80	469	552
