Rank;Information_Gain
1;1
2;1
3;2
4;2
5;3
6;3
7;3
8;4
9;4
10;4
11;5
12;5
13;5
14;6
15;6
16;6
17;6
18;7
19;7
20;7
21;7
22;8
23;8
24;8
25;8
26;9
27;9
28;9
29;9
30;9
31;9
32;9
33;10
34;10
35;10
36;10
37;10
38;10
39;11
40;11
41;11
42;11
43;11
44;11
45;11
46;11
47;12
48;12
49;12
50;12
51;12
52;12
53;12
54;12
55;12
56;12
57;13
58;13
59;13
60;13
61;13
62;13
63;13
64;13
65;13
66;13
67;13
68;13
69;13
70;13
71;13
72;13
73;13
74;13
75;14
76;14
77;14
78;14
79;14
80;14
81;14
82;14
83;14
84;14
85;14
86;14
87;14
88;14
89;14
90;14
91;14
92;14
93;14
94;14
95;14
96;14
97;14
98;14
99;14
100;14
